point_code,X,Y
9-2,143699.29,2684443.01
9-3,127018.81,2685413.23
9-4,136351.07,2693767.92
9-5,143371.13,2691283.75
9-6,147239.78,2693390.07
10-1,162614.22,2691882.00
10-2,157716.94,2683627.67
10-3,143699.29,2684443.01
10-4,149237.26,2693194.14
11-1,128982.01,2685299.04
11-2,114203.64,2662412.45
11-3,108745.34,2669053.94
11-4,127018.81,2685413.23
12-1,143699.29,2684443.01
12-2,138862.45,2676799.81
12-3,124013.39,2677604.37
12-4,128982.01,2685299.04
13-1,157716.94,2683627.67
13-2,153204.92,2676022.70
13-3,138862.45,2676799.81
13-4,143699.29,2684443.01
14-1,138862.45,2676799.81
14-2,133729.18,2668688.18
14-3,118670.52,2669330.10
14-4,124013.39,2677604.37
15-1,153204.92,2676022.70
15-2,148480.29,2668059.38
15-3,133729.18,2668688.18
15-4,138862.45,2676799.81
16-1,133729.18,2668688.18
16-2,128461.30,2660363.85
16-3,115887.28,2660363.85
16-4,114203.64,2662412.45
16-5,118670.52,2669330.10
17-1,148480.29,2668059.38
17-2,143914.55,2660363.85
17-3,128461.30,2660363.85
17-4,133729.18,2668688.18
18-1,133769.23,2660363.85
18-2,129277.44,2652092.81
18-3,115350.77,2659019.98
18-4,115887.28,2660363.85
19-1,143914.55,2660363.85
19-2,136786.76,2648357.65
19-3,129277.44,2652092.81
19-4,133769.23,2660363.85
20-1,178039.12,2687893.49
20-2,173001.08,2681027.28
20-3,159900.02,2683476.03
20-4,164592.99,2691403.72
20-5,169077.75,2689793.78
21-1,173001.08,2681027.28
21-2,167422.39,2673424.25
21-3,154979.41,2675163.81
21-4,159900.02,2683476.03
22-1,167422.39,2673424.25
22-2,162744.53,2667048.92
22-3,150935.54,2668332.62
22-4,154979.41,2675163.81
23-1,162744.53,2667048.92
23-2,157839.39,2660363.85
23-3,146250.36,2660418.09
23-4,150935.54,2668332.62
24-1,157839.39,2660363.85
24-2,151017.90,2650975.73
24-3,142635.63,2654311.83
24-4,146250.36,2660418.09
25-1,151017.90,2650975.73
25-2,143446.56,2640555.64
25-3,137739.01,2646040.13
25-4,142635.63,2654311.83
26-1,181455.29,2666147.94
26-2,176720.76,2660460.33
26-3,174026.16,2660607.30
26-4,173273.26,2660363.85
26-5,170017.62,2660363.85
26-6,160267.56,2660342.39
26-7,166474.20,2668833.35
27-1,170017.62,2660363.85
27-2,163414.50,2650642.37
27-3,153802.85,2651438.91
27-4,160267.56,2660342.39
28-1,163414.50,2650642.37
28-2,155664.02,2640462.63
28-3,146959.27,2642013.63
28-4,153802.85,2651438.91
29-1,170909.19,2647686.32
29-2,165148.87,2638772.64
29-3,155664.02,2640462.63
29-4,162349.91,2649244.09
30-1,165148.87,2638772.64
30-2,159539.04,2632844.03
30-3,144536.19,2635075.02
30-4,146959.27,2642013.63
31-1,159539.04,2632844.03
31-2,157968.11,2631183.82
31-3,156400.62,2625183.09
31-4,144256.45,2626421.00
31-5,143516.73,2632155.73
31-6,144536.19,2635075.02
32-1,156400.62,2625183.09
32-2,154246.08,2616934.98
32-3,145487.01,2616881.05
32-4,144256.45,2626421.00
33-1,154812.94,2570956.62
33-2,153595.46,2564599.62
33-3,145284.97,2564599.13
33-4,145177.51,2571003.77
34-1,164014.66,2534289.44
34-2,164701.30,2533347.09
34-3,165844.24,2533070.53
34-4,166530.49,2531056.40
34-5,164331.37,2529464.84
34-6,162452.25,2532498.25
34-7,160828.83,2531778.41
34-8,161623.85,2529775.08
34-9,160632.68,2529244.45
34-10,162762.06,2524738.87
34-11,161046.70,2524202.90
34-12,158730.23,2528487.72
34-13,157023.62,2531644.47
34-14,159475.86,2532723.37
34-15,159712.95,2534214.16
35-1,168804.57,2519613.25
35-2,169992.30,2515219.01
35-3,162583.43,2513725.64
35-4,161805.02,2516756.72
35-5,162905.21,2517167.77
35-6,162787.36,2518398.13
36-1,192866.56,2483661.45
36-2,196572.30,2480925.61
36-3,192247.01,2477250.32
36-4,191263.32,2482734.47
36-5,202017.11,2478143.95
36-6,206538.74,2475237.33
36-7,205375.40,2473139.41
36-8,199535.09,2476808.86
