Country,Type,Language,Description
Malaysia,Utility Green Tariff,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Malaysia,Utility Green Tariff,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Philippines,summary,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Philippines,summary,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Philippines,On-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Philippines,On-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Philippines,Physiccal Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Philippines,Physiccal Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Philippines,Virtual Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Philippines,Virtual Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Philippines,Utility Green Tariff,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Philippines,Utility Green Tariff,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Singapore,summary,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Singapore,summary,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Singapore,On-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Singapore,On-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Singapore,Physiccal Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Singapore,Physiccal Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Singapore,Virtual Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Singapore,Virtual Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Singapore,Utility Green Tariff,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Singapore,Utility Green Tariff,en,to be continue…(if you order me a cup of coffee will make me speed on!)
South Korea,summary,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
South Korea,summary,en,to be continue…(if you order me a cup of coffee will make me speed on!)
South Korea,On-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
South Korea,On-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
South Korea,Physiccal Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
South Korea,Physiccal Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
South Korea,Virtual Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
South Korea,Virtual Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
South Korea,Utility Green Tariff,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
South Korea,Utility Green Tariff,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Thailand,summary,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Thailand,summary,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Thailand,On-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Thailand,On-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Thailand,Physiccal Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Thailand,Physiccal Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Thailand,Virtual Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Thailand,Virtual Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Thailand,Utility Green Tariff,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Thailand,Utility Green Tariff,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Viet Nam,summary,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Viet Nam,summary,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Viet Nam,On-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Viet Nam,On-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Viet Nam,Physiccal Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Viet Nam,Physiccal Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Viet Nam,Virtual Off-site CPPA,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Viet Nam,Virtual Off-site CPPA,en,to be continue…(if you order me a cup of coffee will make me speed on!)
Viet Nam,Utility Green Tariff,zh-TW,更新中…（請我喝一杯咖啡的話我會更新的更快呦）
Viet Nam,Utility Green Tariff,en,to be continue…(if you order me a cup of coffee will make me speed on!)
